round,draw_date,draw_datetime_used,draw_location_name,station_id,station_name,temp_at_draw,humidity_at_draw,wind_at_draw,pressure_at_draw,snow_at_draw,precip_1h,precip_6h,precip_24h,daily_tavg,daily_tmin,daily_tmax,daily_precip_mm,is_raining,is_snowing,temp_bin,humidity_bin
1,2002-12-07,2002-12-07 20:35:00,MBC Studio,108,Seoul ASOS,5.1,55.0,3.5,1015.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
2,2002-12-14,2002-12-14 20:35:00,MBC Studio,108,Seoul ASOS,2.3,60.0,2.0,1021.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
3,2002-12-21,2002-12-21 20:35:00,MBC Studio,108,Seoul ASOS,6.8,62.0,3.5,1015.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
4,2002-12-28,2002-12-28 20:35:00,MBC Studio,108,Seoul ASOS,0.0,64.0,4.4,1011.4,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
5,2003-01-04,2003-01-04 20:35:00,MBC Studio,108,Seoul ASOS,-12.1,59.0,3.8,1014.8,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
6,2003-01-11,2003-01-11 20:35:00,MBC Studio,108,Seoul ASOS,1.3,72.0,2.2,1011.4,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
7,2003-01-18,2003-01-18 20:35:00,MBC Studio,108,Seoul ASOS,1.3,76.0,1.8,1012.7,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
8,2003-01-25,2003-01-25 20:35:00,MBC Studio,108,Seoul ASOS,2.0,37.0,2.5,1016.3,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
9,2003-02-01,2003-02-01 20:35:00,MBC Studio,108,Seoul ASOS,0.4,48.0,1.3,1016.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
10,2003-02-08,2003-02-08 20:35:00,MBC Studio,108,Seoul ASOS,3.8,88.0,1.4,1007.4,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
11,2003-02-15,2003-02-15 20:35:00,MBC Studio,108,Seoul ASOS,5.2,32.0,2.5,1008.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
12,2003-02-22,2003-02-22 20:35:00,MBC Studio,108,Seoul ASOS,4.0,77.0,3.7,1003.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
13,2003-03-01,2003-03-01 20:35:00,MBC Studio,108,Seoul ASOS,5.8,67.0,2.8,1002.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
14,2003-03-08,2003-03-08 20:35:00,MBC Studio,108,Seoul ASOS,2.8,80.0,1.8,1015.3,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
15,2003-03-15,2003-03-15 20:35:00,MBC Studio,108,Seoul ASOS,8.2,55.0,1.6,1010.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
16,2003-03-22,2003-03-22 20:35:00,MBC Studio,108,Seoul ASOS,9.3,42.0,3.6,1015.3,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
17,2003-03-29,2003-03-29 20:35:00,MBC Studio,108,Seoul ASOS,9.9,41.0,3.0,1002.3,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
18,2003-04-05,2003-04-05 20:35:00,MBC Studio,108,Seoul ASOS,11.1,47.0,4.0,1005.0,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
19,2003-04-12,2003-04-12 20:35:00,MBC Studio,108,Seoul ASOS,9.1,84.0,4.1,1000.4,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
20,2003-04-19,2003-04-19 20:35:00,MBC Studio,108,Seoul ASOS,10.6,90.0,2.9,1001.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
21,2003-04-26,2003-04-26 20:35:00,MBC Studio,108,Seoul ASOS,15.1,65.0,2.7,1005.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
22,2003-05-03,2003-05-03 20:35:00,MBC Studio,108,Seoul ASOS,18.7,48.0,0.8,1004.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
23,2003-05-10,2003-05-10 20:35:00,MBC Studio,108,Seoul ASOS,15.3,46.0,2.8,1007.8,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
24,2003-05-17,2003-05-17 20:35:00,MBC Studio,108,Seoul ASOS,18.0,66.0,1.7,998.6,-9.0,0.0,0.0,0.0,,,,,False,False,mild,humid
25,2003-05-24,2003-05-24 20:35:00,MBC Studio,108,Seoul ASOS,17.9,80.0,6.5,1004.0,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
26,2003-05-31,2003-05-31 20:35:00,MBC Studio,108,Seoul ASOS,24.6,43.0,2.2,994.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
27,2003-06-07,2003-06-07 20:35:00,MBC Studio,108,Seoul ASOS,21.7,56.0,1.9,1000.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
28,2003-06-14,2003-06-14 20:35:00,MBC Studio,108,Seoul ASOS,20.0,79.0,3.2,996.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
29,2003-06-21,2003-06-21 20:35:00,MBC Studio,108,Seoul ASOS,23.6,72.0,1.4,1000.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
30,2003-06-28,2003-06-28 20:35:00,MBC Studio,108,Seoul ASOS,22.2,69.0,2.3,994.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
31,2003-07-05,2003-07-05 20:35:00,MBC Studio,108,Seoul ASOS,24.8,69.0,3.2,995.8,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
32,2003-07-12,2003-07-12 20:35:00,MBC Studio,108,Seoul ASOS,21.7,91.0,1.5,997.6,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
33,2003-07-19,2003-07-19 20:35:00,MBC Studio,108,Seoul ASOS,20.5,87.0,0.7,996.4,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
34,2003-07-26,2003-07-26 20:35:00,MBC Studio,108,Seoul ASOS,26.2,71.0,0.7,1001.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
35,2003-08-02,2003-08-02 20:35:00,MBC Studio,108,Seoul ASOS,25.4,86.0,0.3,996.6,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
36,2003-08-09,2003-08-09 20:35:00,MBC Studio,108,Seoul ASOS,26.7,64.0,2.1,990.3,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
37,2003-08-16,2003-08-16 20:35:00,MBC Studio,108,Seoul ASOS,23.3,65.0,0.7,1005.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
38,2003-08-23,2003-08-23 20:35:00,MBC Studio,108,Seoul ASOS,24.2,94.0,2.9,999.3,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
39,2003-08-30,2003-08-30 20:35:00,MBC Studio,108,Seoul ASOS,17.3,92.0,0.3,999.1,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
40,2003-09-06,2003-09-06 20:35:00,MBC Studio,108,Seoul ASOS,22.6,82.0,0.1,1001.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
41,2003-09-13,2003-09-13 20:35:00,MBC Studio,108,Seoul ASOS,21.9,81.0,1.6,1001.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
42,2003-09-20,2003-09-20 20:35:00,MBC Studio,108,Seoul ASOS,20.5,54.0,1.7,1003.3,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
43,2003-09-27,2003-09-27 20:35:00,MBC Studio,108,Seoul ASOS,20.6,60.0,0.7,1003.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
44,2003-10-04,2003-10-04 20:35:00,MBC Studio,108,Seoul ASOS,15.6,44.0,1.7,1014.4,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
45,2003-10-11,2003-10-11 20:35:00,MBC Studio,108,Seoul ASOS,20.3,58.0,0.9,1004.7,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
46,2003-10-18,2003-10-18 20:35:00,MBC Studio,108,Seoul ASOS,13.6,30.0,3.1,1010.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
47,2003-10-25,2003-10-25 20:35:00,MBC Studio,108,Seoul ASOS,11.0,44.0,1.6,1006.2,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
48,2003-11-01,2003-11-01 20:35:00,MBC Studio,108,Seoul ASOS,14.1,84.0,1.9,1007.5,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
49,2003-11-08,2003-11-08 20:35:00,MBC Studio,108,Seoul ASOS,8.6,97.0,0.4,1009.9,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
50,2003-11-15,2003-11-15 20:35:00,MBC Studio,108,Seoul ASOS,9.1,51.0,4.3,1009.0,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
51,2003-11-22,2003-11-22 20:35:00,MBC Studio,108,Seoul ASOS,0.3,44.0,1.0,1022.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
52,2003-11-29,2003-11-29 20:35:00,MBC Studio,108,Seoul ASOS,8.1,85.0,3.2,1008.0,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
53,2003-12-06,2003-12-06 20:35:00,MBC Studio,108,Seoul ASOS,-1.5,60.0,3.7,1014.5,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,humid
54,2003-12-13,2003-12-13 20:35:00,MBC Studio,108,Seoul ASOS,0.8,61.0,0.9,1014.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
55,2003-12-20,2003-12-20 20:35:00,MBC Studio,108,Seoul ASOS,-3.9,38.0,2.8,1020.0,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
56,2003-12-27,2003-12-27 20:35:00,MBC Studio,108,Seoul ASOS,-2.0,50.0,1.4,1020.2,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
57,2004-01-03,2004-01-03 20:35:00,MBC Studio,108,Seoul ASOS,3.5,56.0,0.8,1015.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
58,2004-01-10,2004-01-10 20:35:00,MBC Studio,108,Seoul ASOS,-2.5,27.0,2.4,1018.5,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,dry
59,2004-01-17,2004-01-17 20:35:00,MBC Studio,108,Seoul ASOS,1.1,81.0,0.9,1012.9,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
60,2004-01-24,2004-01-24 20:35:00,MBC Studio,108,Seoul ASOS,-7.1,60.0,3.4,1011.7,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,humid
61,2004-01-31,2004-01-31 20:35:00,MBC Studio,108,Seoul ASOS,2.5,68.0,1.6,1010.7,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
62,2004-02-07,2004-02-07 20:35:00,MBC Studio,108,Seoul ASOS,-1.7,77.0,3.2,1014.7,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,humid
63,2004-02-14,2004-02-14 20:35:00,MBC Studio,108,Seoul ASOS,1.6,42.0,4.5,1005.7,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
64,2004-02-21,2004-02-21 20:35:00,MBC Studio,108,Seoul ASOS,12.3,99.0,1.7,997.0,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
65,2004-02-28,2004-02-28 20:35:00,MBC Studio,108,Seoul ASOS,8.0,97.0,3.1,999.4,-9.0,0.0,0.0,0.0,,,,,False,False,cold,very_humid
66,2004-03-06,2004-03-06 20:35:00,MBC Studio,108,Seoul ASOS,-4.3,47.0,4.0,1016.0,-9.0,0.0,0.0,0.0,,,,,False,False,freezing,moderate
67,2004-03-13,2004-03-13 20:35:00,MBC Studio,108,Seoul ASOS,8.1,68.0,1.8,1011.2,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
68,2004-03-20,2004-03-20 20:35:00,MBC Studio,108,Seoul ASOS,6.5,39.0,3.0,1011.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
69,2004-03-27,2004-03-27 20:35:00,MBC Studio,108,Seoul ASOS,9.8,30.0,2.5,1011.7,-9.0,0.0,0.0,0.0,,,,,False,False,cold,moderate
70,2004-04-03,2004-04-03 20:35:00,MBC Studio,108,Seoul ASOS,7.3,64.0,1.4,1010.5,-9.0,0.0,0.0,0.0,,,,,False,False,cold,humid
71,2004-04-10,2004-04-10 20:35:00,MBC Studio,108,Seoul ASOS,15.6,27.0,2.0,1004.7,-9.0,0.0,0.0,0.0,,,,,False,False,mild,dry
72,2004-04-17,2004-04-17 20:35:00,MBC Studio,108,Seoul ASOS,17.8,31.0,0.5,1003.0,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
73,2004-04-24,2004-04-24 20:35:00,MBC Studio,108,Seoul ASOS,11.5,33.0,3.9,1008.9,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
74,2004-05-01,2004-05-01 20:35:00,MBC Studio,108,Seoul ASOS,22.0,44.0,2.6,1008.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
75,2004-05-08,2004-05-08 20:35:00,MBC Studio,108,Seoul ASOS,19.2,54.0,1.0,999.5,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
76,2004-05-15,2004-05-15 20:35:00,MBC Studio,108,Seoul ASOS,14.8,84.0,3.2,1000.9,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
77,2004-05-22,2004-05-22 20:35:00,MBC Studio,108,Seoul ASOS,18.1,42.0,3.5,995.9,-9.0,0.0,0.0,0.0,,,,,False,False,mild,moderate
78,2004-05-29,2004-05-29 20:35:00,MBC Studio,108,Seoul ASOS,20.2,87.0,1.6,1000.2,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
79,2004-06-05,2004-06-05 20:35:00,MBC Studio,108,Seoul ASOS,24.8,52.0,1.9,1002.2,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
80,2004-06-12,2004-06-12 20:35:00,MBC Studio,108,Seoul ASOS,25.0,31.0,2.5,1005.7,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
81,2004-06-19,2004-06-19 20:35:00,MBC Studio,108,Seoul ASOS,19.7,98.0,3.5,993.0,-9.0,0.0,0.0,0.0,,,,,False,False,mild,very_humid
82,2004-06-26,2004-06-26 20:35:00,MBC Studio,108,Seoul ASOS,23.5,77.0,2.5,997.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
83,2004-07-03,2004-07-03 20:35:00,MBC Studio,108,Seoul ASOS,24.3,94.0,0.8,993.9,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
84,2004-07-10,2004-07-10 20:35:00,MBC Studio,108,Seoul ASOS,24.2,78.0,1.1,997.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
85,2004-07-17,2004-07-17 20:35:00,MBC Studio,108,Seoul ASOS,22.7,91.0,1.4,996.7,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
86,2004-07-24,2004-07-24 20:35:00,MBC Studio,108,Seoul ASOS,27.7,67.0,1.9,996.0,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
87,2004-07-31,2004-07-31 20:35:00,MBC Studio,108,Seoul ASOS,29.7,75.0,1.9,996.2,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
88,2004-08-07,2004-08-07 20:35:00,MBC Studio,108,Seoul ASOS,27.7,78.0,2.3,998.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
89,2004-08-14,2004-08-14 20:35:00,MBC Studio,108,Seoul ASOS,26.3,74.0,2.2,999.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
90,2004-08-21,2004-08-21 20:35:00,MBC Studio,108,Seoul ASOS,23.6,80.0,2.0,1003.4,-9.0,0.0,0.0,0.0,,,,,False,False,warm,very_humid
91,2004-08-28,2004-08-28 20:35:00,MBC Studio,108,Seoul ASOS,23.7,64.0,2.5,998.2,-9.0,0.0,0.0,0.0,,,,,False,False,warm,humid
92,2004-09-04,2004-09-04 20:35:00,MBC Studio,108,Seoul ASOS,25.0,57.0,2.0,1003.5,-9.0,0.0,0.0,0.0,,,,,False,False,warm,moderate
