row_id,round,n1,n2,n3,n4,n5,n6,bonus,rank_text,winner_count,prize_amount,numbers,sum_main,odd_count,even_count,low_count,high_count
1214,1,10,23,29,33,37,40,16,1등,0,0,"10,23,29,33,37,40",172,4,2,1,5
1213,2,9,13,21,25,32,42,2,1등,1,2002006800,"9,13,21,25,32,42",142,4,2,3,3
1212,3,11,16,19,21,27,31,30,1등,1,2000000000,"11,16,19,21,27,31",125,5,1,4,2
1211,4,14,27,30,31,40,42,2,1등,0,0,"14,27,30,31,40,42",184,2,4,1,5
1210,5,16,24,29,40,41,42,3,1등,0,0,"16,24,29,40,41,42",192,2,4,1,5
1209,6,14,15,26,27,40,42,34,1등,1,6574451700,"14,15,26,27,40,42",164,2,4,2,4
1208,7,2,9,16,25,26,40,42,1등,0,0,"2,9,16,25,26,40",118,2,4,3,3
1207,8,8,19,25,34,37,39,9,1등,0,0,"8,19,25,34,37,39",162,4,2,2,4
1206,9,2,4,16,17,36,39,14,1등,0,0,"2,4,16,17,36,39",114,2,4,4,2
1205,10,9,25,30,33,41,44,6,1등,13,6430437900,"9,25,30,33,41,44",182,4,2,1,5
1204,11,1,7,36,37,41,42,14,1등,5,4780152300,"1,7,36,37,41,42",164,4,2,2,4
1203,12,2,11,21,25,39,45,44,1등,12,1348845700,"2,11,21,25,39,45",143,5,1,3,3
1202,13,22,23,25,37,38,42,26,1등,0,0,"22,23,25,37,38,42",187,3,3,1,5
1201,14,2,6,12,31,33,40,15,1등,4,9375048300,"2,6,12,31,33,40",124,2,4,3,3
1200,15,3,4,16,30,31,37,13,1등,1,17014245000,"3,4,16,30,31,37",121,3,3,3,3
1199,16,6,7,24,37,38,40,33,1등,4,4377146100,"6,7,24,37,38,40",152,2,4,2,4
1198,17,3,4,9,17,32,37,1,1등,3,5349491200,"3,4,9,17,32,37",102,4,2,4,2
1197,18,3,12,13,19,32,35,29,1등,0,0,"3,12,13,19,32,35",114,4,2,4,2
1196,19,6,30,38,39,40,43,26,1등,1,40722959400,"6,30,38,39,40,43",196,2,4,1,5
1195,20,10,14,18,20,23,30,41,1등,1,19352212800,"10,14,18,20,23,30",115,1,5,4,2
1194,21,6,12,17,18,31,32,21,1등,23,797475400,"6,12,17,18,31,32",116,2,4,4,2
