number,real,random_mean,random_lower,random_upper,deviation_from_random_mean
1,167,162.112,138.0,186.0,4.888000000000005
2,152,162.0575,140.0,186.0,-10.057500000000005
3,170,162.4915,139.0,186.0,7.508499999999998
4,159,162.2155,140.0,185.0,-3.2154999999999916
5,153,162.3005,139.0,186.0,-9.3005
6,163,162.596,140.0,185.0,0.40399999999999636
7,168,161.8695,139.0,185.0,6.130500000000012
8,156,162.1235,138.975,186.0,-6.123500000000007
9,133,162.6795,141.0,186.0,-29.67949999999999
10,161,162.047,138.0,186.02499999999986,-1.046999999999997
11,164,162.2365,141.0,185.02499999999986,1.7634999999999934
12,177,162.4925,139.975,184.02499999999986,14.507499999999993
13,175,162.354,139.975,186.0,12.645999999999987
14,170,162.1695,138.0,186.0,7.830500000000001
15,166,162.004,139.0,185.0,3.9960000000000093
16,166,162.1615,139.0,186.0,3.8385000000000105
17,169,162.278,139.0,186.0,6.722000000000008
18,172,162.4835,139.0,185.0,9.516500000000008
19,167,162.5285,139.0,186.0,4.471499999999992
20,168,162.2,138.0,186.0,5.800000000000011
21,165,162.0805,138.975,185.0,2.9194999999999993
22,141,162.3565,139.975,187.0,-21.35650000000001
23,147,162.3635,140.0,186.0,-15.363499999999988
24,164,162.512,138.0,186.02499999999986,1.4879999999999995
25,150,162.1075,140.0,186.0,-12.107499999999987
26,164,162.4295,140.0,186.0,1.5705000000000098
27,180,161.9465,139.0,186.0,18.053500000000014
28,151,162.161,141.0,185.0,-11.161000000000001
29,153,162.367,141.0,186.0,-9.36699999999999
30,156,162.1785,140.0,185.0,-6.178500000000014
31,165,161.9085,139.0,185.0,3.0914999999999964
32,141,161.777,139.0,185.0,-20.776999999999987
33,173,162.3255,140.0,185.0,10.674499999999995
34,181,162.239,140.0,186.0,18.760999999999996
35,161,162.004,139.0,185.0,-1.0039999999999907
36,162,162.489,139.0,187.0,-0.4890000000000043
37,171,162.035,139.0,186.0,8.965000000000003
38,169,162.486,139.0,187.0,6.51400000000001
39,165,162.0645,139.0,187.0,2.9354999999999905
40,172,162.5555,141.0,186.02499999999986,9.444500000000005
41,147,162.47,140.0,186.0,-15.469999999999999
42,153,162.149,139.0,186.0,-9.149000000000001
43,162,162.3085,140.0,186.0,-0.3085000000000093
44,161,162.897,140.975,186.0,-1.8969999999999914
45,172,162.3885,138.0,186.0,9.611500000000007
